,utcdate,utctime,alt,speed_mph,n_sats
119556,2021-11-19,,202,36369.466001,6
119832,2021-11-19,,202,36000.371627,6
120100,2021-11-19,,202,35329.290947,6
120381,2021-11-19,,202,34926.642539,6
120645,2021-11-19,,202,33584.481179,6
120920,2021-11-19,,202,33718.697315,6
121195,2021-11-19,,202,33181.832771,6
121457,2021-11-19,,203,30967.887898,6
121734,2021-11-19,,203,29927.712844,7
122008,2021-11-19,,203,28216.45711,7
122297,2021-11-19,,203,25397.918254,8
122571,2021-11-19,,204,22949.095143,8
122847,2021-11-19,,204,21640.487817,8
123122,2021-11-19,,204,20432.542593000002,8
123398,2021-11-19,,204,17681.111805,8
123672,2021-11-19,,205,16003.410105,8
123954,2021-11-19,,205,14628.316082,8
124229,2021-11-19,,205,13789.465232,8
124498,2021-11-19,,205,12883.506314,8
124773,2021-11-19,,205,11440.682852,8
125046,2021-11-19,,204,10970.926376,8
125319,2021-11-19,,203,9964.305356,8
125587,2021-11-19,,204,9796.535186000001,8
125862,2021-11-19,,204,8991.238370000001,8
126137,2021-11-19,,204,7314.158041,8
126412,2021-11-19,,204,6575.969293,8
126684,2021-11-19,,205,4764.0514570000005,8
126953,2021-11-19,,205,4160.078845,8
127220,2021-11-19,,205,3153.457825,7
127501,2021-11-19,,205,4998.929695,7
127776,2021-11-19,,205,7951.063316,7
128058,2021-11-19,,205,11038.034444,8
128333,2021-11-19,,206,15030.96449,8
128611,2021-11-19,,206,19392.367539,9
128877,2021-11-19,,207,21472.717647,9
129148,2021-11-19,,207,22647.108837,9
129417,2021-11-19,,208,25297.256152,9
129685,2021-11-19,,208,26035.4449,9
129960,2021-11-19,,208,26840.741716,9
130229,2021-11-19,,208,28417.781314,9
130499,2021-11-19,,208,31470.577037,9
130775,2021-11-19,,208,30229.69915,9
131055,2021-11-19,,208,30800.117728,9
131331,2021-11-19,,208,34859.534471,9
131618,2021-11-19,,208,35664.831287,9
131888,2021-11-19,,209,37577.411225,9
132169,2021-11-19,,208,176.469364,9
132445,2021-11-19,,208,1015.320214,9
132720,2021-11-19,,208,3129.224356,9
132995,2021-11-19,,208,3833.85907,9
133276,2021-11-19,,208,6014.249909,8
133545,2021-11-19,,208,9235.437173,8
133824,2021-11-19,,208,11248.679213,8
134095,2021-11-19,,208,10342.720295000001,8
134377,2021-11-19,,208,8161.708085,8
134656,2021-11-19,,208,10275.612227,8
134928,2021-11-19,,208,10376.274329,8
135196,2021-11-19,,208,12557.286539,8
135478,2021-11-19,,208,13194.813185,8
135747,2021-11-19,,208,14033.042664,8
136020,2021-11-19,,208,14737.677378,8
136285,2021-11-19,,208,17791.094472,8
136555,2021-11-19,,208,15475.866126,8
136835,2021-11-19,,208,17287.783962,9
137099,2021-11-19,,209,15878.514534,9
137374,2021-11-19,,209,16985.797656,8
137649,2021-11-19,,209,16113.392772000001,8
137924,2021-11-19,,208,17220.675894,8
138193,2021-11-19,,208,17858.20254,8
138462,2021-11-19,,208,21180.051906,8
138737,2021-11-19,,207,19703.67441,8
139013,2021-11-19,,207,20643.187362,8
139288,2021-11-19,,208,17623.324302,8
139564,2021-11-19,,208,18462.175152,8
139834,2021-11-19,,208,19770.782478,9
140134,2021-11-19,,208,20072.768784,9
140405,2021-11-19,,208,19804.336512,8
140677,2021-11-19,,208,19032.59373,8
140953,2021-11-19,,208,19334.580036,8
141234,2021-11-19,,208,18193.74288,8
141510,2021-11-19,,208,15375.204024,8
141777,2021-11-19,,207,16952.243622,8
142053,2021-11-19,,207,15308.095956000001,8
142329,2021-11-19,,208,9906.517853,9
142635,2021-11-19,,209,11282.233247,9
142912,2021-11-19,,209,10812.476771,9
